building_name,latitude ,longitude
１号館,35.1840182,137.1112837
１号館別館,35.18486116,137.1109957
2号館実験棟,35.1842372,137.1129512
新２号館,35.18374881,137.1142044
３号館,35.18399654,137.1150169
３号館別館,35.18384527,137.1150466
４号館,35.18491293,137.1149843
4号館別館,35.18523286,137.1152695
5号館講義実験棟,35.18465123,137.1140756
6号館,35.18467734,137.1160329
7号館,35.18480323,137.1126859
8号館,35.18437822,137.1143341
9号館,35.18486722,137.1116681
10号館,35.18430792,137.1109747
10号館大講義室,35.18446846,137.1115045
11号館,35.1853197,137.1158847
12号館,35.18382971,137.1134968
13号館,35.18483879,137.1158383
情報教育センター,35.1847046,137.1147838
計算センター,35.1847046,137.1145263
バイオ環境化学実験棟,35.1838202,137.115439
図書館,35.18375355,137.1129209
総合研究室,35.18335051,137.114681
耐震実験センター,35.18521689,137.111138
振動実験棟,35.18507427,137.1130726
(愛知工業大学)地域防災研究センター,35.18481385,137.1105387
エコ電力研究センター,,
本部棟,35.18323824,137.1120411
旧本部棟(第1本部棟),35.18372053,137.1118533
第2本部棟,35.18365476,137.1123576
愛和会館,35.18436064,137.1123629
AITプラザ,35.1843738,137.111789
セントラルテラス,35.18429926,137.1139508
鉀徳館,35.18235593,137.1137703
総合運動場管理棟,35.18359303,137.1174832
小体育館(アーチェリー場),35.18158624,137.1132799
第3クラブハウス,35.18525379,137.1114555
第4クラブハウス,35.18268333,137.1146579
第5クラブハウス,35.18168223,137.1179497
庭球場管理ハウス,35.18340286,137.1126484
弓道場,35.18392049,137.1192539
警備室,35.18299418,137.1103032
バス停,,
合宿寮,35.18234836,137.111643
愛知工業大学学生寮,35.18210019,137.1115963
サッカー場,35.18358403,137.1164672
球技場,35.18239618,137.1172208
野球場,35.1827147,137.1187408
陸上競技場,35.18438376,137.117782